# eps_q = proportion of primes p with (disc f_p / q) = -1, over all 9590
# primes 5 <= p < 10^5 (Section 6 of the note).  Columns: q, eps_q, sample size.
# Reproduce with tools/sweep_eps.py --full ; spot-check with --check.
# Exact values from Section 6: eps_3 = 1/2, eps_5 = 11/20, eps_7 = 323/648.
# Excluding q=5, every value lies within 2.15 binomial standard errors of 1/2.
q eps_q n
3 0.502190 9590
5 0.547815 9589
7 0.498640 9558
11 0.493794 9587
13 0.501669 9586
17 0.490133 9577
19 0.501982 9584
23 0.495876 9577
29 0.502037 9573
31 0.496503 9581
37 0.510441 9578
41 0.502403 9572
43 0.494989 9578
47 0.508041 9576
53 0.506685 9574
59 0.495457 9575
61 0.500836 9574
67 0.498067 9573
71 0.500888 9571
73 0.497545 9571
79 0.499896 9570
83 0.510974 9568
89 0.493729 9568
97 0.508519 9567
101 0.504025 9565
103 0.498798 9565
107 0.497386 9564
109 0.489228 9562
113 0.500105 9562
127 0.498065 9561
131 0.498849 9560
137 0.505074 9559
139 0.501883 9558
149 0.505179 9557
151 0.499058 9556
157 0.494401 9555
163 0.510990 9554
167 0.502355 9553
173 0.493928 9552
179 0.498168 9551
181 0.498429 9550
191 0.504241 9549
193 0.504085 9548
197 0.506023 9547
199 0.500000 9546
