  q   r   m0 degrees                  M        k   2k-M
  3   1    1 2                        2        1      0
  3   2    1 2                        2        1      0
  5   1    1 4                        8        4      0
  5   1    2 4                        8        4      0
  5   1    3 2+2                      4        4      4
  5   2    1 4                       24       12      0
  5   2    2 2                        4        4      4
  5   2    3 2+2                      4        2      0
  5   2    4 1+1+2                    4        2      0
  7   1    1 3+3                     18        8     -2
  7   1    2 6                       18        9      0
  7   1    3 3+3                     18        8     -2
  7   1    4 6                       18        9      0
  7   1    5 2+2+2                    6        3      0
  7   2    1 2+4                     48       24      0
  7   2    2 2+4                     48       24      0
  7   2    3 6                      342      171      0
  7   2    4 3+3                    342      170     -2
  7   2    5 2+2+2                    6        3      0
  7   2    6 1+1+4                   48       24      0
 11   1    1 10                      50       25      0
 11   1    2 5+5                     50       24     -2
 11   1    3 5+5                     50       24     -2
 11   1    4 5+5                     50       24     -2
 11   1    5 10                      50       25      0
 11   1    6 10                      50       25      0
 11   1    7 10                      50       25      0
 11   1    8 5+5                     50       24     -2
 11   1    9 2+2+2+2+2               10        5      0
 11   2    3 2+4+4                 1830      915      0
 11   2    4 2+4+4                 3660     1830      0
 11   2    6 4+6                   5320     2724    128
 11   2    7 4+6                  15960     7980      0
 11   2    8 2+3+3                 1330      664     -2
 11   2    9 2+2+2+2+2               10        5      0
 11   2   10 1+1+2+6               1330      665      0
 13   1    1 12                      72       36      0
 13   1    2 3+3+3+3                 18       16     14
 13   1    3 6+6                     36        4    -28
 13   1    4 4+4+4                   24        8     -8
 13   1    5 12                      72       36      0
 13   1    6 12                      72       36      0
 13   1    7 4+4+4                   24        8     -8
 13   1    8 3+3+3+3                 18       16     14
 13   1    9 6+6                     36        4    -28
 13   1   10 12                      72       36      0
 13   1   11 2+2+2+2+2+2             12        8      4
 13   2    2 4+8                  28560    14448    336
 13   2   10 4+4+4                14280     7324    368
 13   2   11 2+2+2+2+2+2             12       10      8

signed imbalance 2k-M: {-28: 2, -8: 2, -2: 8, 0: 29, 4: 3, 8: 1, 14: 2, 128: 1, 336: 1, 368: 1}
